method,anchor_class,target_class,sequence_id,time_index,difference_norm
methodA,ambiguous,polite,15,13,0.5021089911460876
methodA,ambiguous,polite,15,14,0.5388596653938293
methodA,ambiguous,polite,15,15,0.5834848284721375
methodA,ambiguous,polite,15,16,0.6256155371665955
methodA,ambiguous,polite,15,17,0.6535136699676514
methodA,ambiguous,polite,15,18,0.5845174789428711
methodA,ambiguous,polite,15,19,0.42688584327697754
methodA,polite,polite,16,0,0.09292774647474289
methodA,polite,polite,16,1,0.15369245409965515
methodA,polite,polite,16,2,0.2435792237520218
methodA,polite,polite,16,3,0.37040695548057556
methodA,polite,polite,16,4,0.3232402801513672
methodA,polite,polite,16,5,0.34912747144699097
methodA,polite,polite,16,6,0.40286025404930115
methodA,polite,polite,16,7,0.37197333574295044
methodA,polite,polite,16,8,0.43251460790634155
methodA,polite,polite,16,9,0.41842523217201233
methodA,polite,polite,16,10,0.5156570076942444
methodA,polite,polite,16,11,0.43446436524391174
methodA,polite,polite,16,12,0.4717581868171692
methodA,polite,polite,16,13,0.46727147698402405
methodA,polite,polite,16,14,0.5013551712036133
methodA,polite,polite,16,15,0.4453663229942322
methodA,polite,polite,16,16,0.4523743987083435
methodA,polite,polite,16,17,0.5272449254989624
methodA,polite,polite,16,18,0.5032097101211548
methodA,polite,polite,16,19,0.4469432234764099
methodA,truesmile,polite,16,0,0.1342586725950241
methodA,truesmile,polite,16,1,0.17890974879264832
methodA,truesmile,polite,16,2,0.29328685998916626
methodA,truesmile,polite,16,3,0.4199489951133728
methodA,truesmile,polite,16,4,0.4293771982192993
methodA,truesmile,polite,16,5,0.4903036057949066
methodA,truesmile,polite,16,6,0.515557587146759
methodA,truesmile,polite,16,7,0.518980085849762
methodA,truesmile,polite,16,8,0.5582981705665588
methodA,truesmile,polite,16,9,0.5955097079277039
methodA,truesmile,polite,16,10,0.6010470986366272
methodA,truesmile,polite,16,11,0.5705016255378723
methodA,truesmile,polite,16,12,0.5811975598335266
methodA,truesmile,polite,16,13,0.6156898140907288
methodA,truesmile,polite,16,14,0.6776803731918335
methodA,truesmile,polite,16,15,0.6637374758720398
